instancia, alpha, numeroiteracionesgrasp, replica, valoroptimo, valorobjetivo, iteracionmejorsolucion, tiempohallarmejorsolucion, tiempototal 
a48.txt 0.2 2 1 33523.70850743559 33958.68234474891 1 1.6978276294088512 2.9586721442726227
a48.txt 0.2 4 1 33523.70850743559 34426.692245135 3 4.928426304491365 6.05372018002069
a48.txt 0.2 8 1 33523.70850743559 34192.094923250566 3 3.927567812458067 11.290982427587307
a48.txt 0.2 16 1 33523.70850743559 34054.513354976065 7 9.941225714873124 22.265674558473684
a48.txt 0.2 30 1 33523.70850743559 33772.05290861102 27 35.89226417424926 39.05016104933006
a48.txt 0.2 2 2 33523.70850743559 33723.78409194058 2 3.5854189313908194 3.5861543127118836
a48.txt 0.2 4 2 33523.70850743559 34813.55509601437 1 1.738107812975116 6.2800079283298516
a48.txt 0.2 8 2 33523.70850743559 34224.53541059241 5 7.871254100099662 12.462760445841326
